Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,source_file,Date,Unnamed: 15,Unnamed: 16,Unnamed: 17
,,"      CENTRAL ELECTRICITY AUTHORITY 
,,,,,,,,,,,,,,,dgr16-2022-01-01.xls,2022-01-01,,,
,https://npp.gov.in   2022/01/04 16:34:01,,,,,,,,,,,,PAGE 1,,dgr16-2022-01-01.xls,2022-01-01,,,
,,"      CENTRAL ELECTRICITY AUTHORITY 
           G O & D WING 
           OPERATION PERFORMANCE MONITORING DIVISION",,,,,,,,,,,,Subreport 16,dgr16-2022-01-02.xls,2022-01-02,,,
,,,,,,,,,,,,,,,dgr16-2022-01-02.xls,2022-01-02,,,
,,Details Of Capacity (mw) Utilization For Power Generation  02-Jan-2022,,,,,,,,,,,,,dgr16-2022-01-02.xls,2022-01-02,,,
,Particulars,Monitored Capacity(MW) ( As on 02-Jan-2022),Capacity under long outage(MW),New Capacity under stabilization/Completion of balance works,Capacity (MW),,,,Capacity outage as percent of Monitered,Capacity on Line(MW),Sum of Max. Power generated (MW),,Max. Power output as % of,,dgr16-2022-01-02.xls,2022-01-02,,,
,,,,,PM,FO,Others,Total,,,Gross,Net,Capacity on line,Monitered,dgr16-2022-01-02.xls,2022-01-02,,,
,THERMAL,,,,,,,,,,,,,,dgr16-2022-01-02.xls,2022-01-02,,,
,Coal Lignite,209809.5,8473,6307,9319,36651.5,7835,53805.5,25.64,156004,148076.11500000002,134749.26465000003,86.37551899310276,64.22457736661116,dgr16-2022-01-02.xls,2022-01-02,,,
,Coal Lignite,0,,,0,0,0,0,0,0,,,0,0,dgr16-2022-01-02.xls,2022-01-02,,,
,Gas Liquid,24869.508999999995,8943.12,,326.40000000000003,6744.085000000001,10197.079000000002,17267.564000000002,69.43,7601.944999999992,3837.764,3761.0087200000003,49.47429532836667,15.12297134615726,dgr16-2022-01-02.xls,2022-01-02,,,
,Diesel,509.709,,,,,,,,509.709,46.05,45.129,8.853875446578341,8.853875446578341,dgr16-2022-01-02.xls,2022-01-02,,,
,Total  THERMAL,235188.718,17416.120000000003,6307,9645.4,43395.585,18032.079,71073.064,30.219589019571934,164115.654,151959.929,138555.40237000003,84.4254639901688,58.91243574447309,dgr16-2022-01-02.xls,2022-01-02,,,
,NUCLEAR,,,,,,,,,,,,,,dgr16-2022-01-02.xls,2022-01-02,,,
, Nuclear,6780,640,,320,320,0,640,9.44,6140,6119.3,5415.5805,88.20163680781758,79.8758185840708,dgr16-2022-01-02.xls,2022-01-02,,,
,Total  NUCLEAR,6780,640,,320,320,0,640,9.43952802359882,6140,6119.3,5415.5805,88.20163680781758,79.8758185840708,dgr16-2022-01-02.xls,2022-01-02,,,
,HYDRO,,,,,,,,,,,,,,dgr16-2022-01-02.xls,2022-01-02,,,
, Hydro,46512.22,3392.75,,2386.65,1909.2,4611.1,8906.95,19.15,37605.270000000004,26137.253999999997,25875.881459999997,68.80918940350647,55.63243693807777,dgr16-2022-01-02.xls,2022-01-02,,,
,Total  HYDRO,46512.22,3392.75,,2386.65,1909.2,4611.1,8906.95,19.14969872433524,37605.270000000004,26137.253999999997,25875.881459999997,68.80918940350647,55.63243693807777,dgr16-2022-01-02.xls,2022-01-02,,,
,Total,288480.93799999997,21448.870000000003,6307,12352.05,45624.784999999996,22643.179000000004,80620.014,27.946392076692433,207860.924,184216.48299999998,169846.86433000004,81.71178163818806,58.87628676872926,dgr16-2022-01-02.xls,2022-01-02,,,
,,,,,,,,,,,,,,,dgr16-2022-01-02.xls,2022-01-02,,,
,https://npp.gov.in   2022/01/04 17:26:04,,,,,,,,,,,,PAGE 1,,dgr16-2022-01-02.xls,2022-01-02,,,
,,"      CENTRAL ELECTRICITY AUTHORITY 
           G O & D WING 
           OPERATION PERFORMANCE MONITORING DIVISION",,,,,,,,,,,,Subreport 16,dgr16-2022-01-03.xls,2022-01-03,,,
,,,,,,,,,,,,,,,dgr16-2022-01-03.xls,2022-01-03,,,
,,Details Of Capacity (mw) Utilization For Power Generation  03-Jan-2022,,,,,,,,,,,,,dgr16-2022-01-03.xls,2022-01-03,,,
,Particulars,Monitored Capacity(MW) ( As on 03-Jan-2022),Capacity under long outage(MW),New Capacity under stabilization/Completion of balance works,Capacity (MW),,,,Capacity outage as percent of Monitered,Capacity on Line(MW),Sum of Max. Power generated (MW),,Max. Power output as % of,,dgr16-2022-01-03.xls,2022-01-03,,,
,,,,,PM,FO,Others,Total,,,Gross,Net,Capacity on line,Monitered,dgr16-2022-01-03.xls,2022-01-03,,,
,THERMAL,,,,,,,,,,,,,,dgr16-2022-01-03.xls,2022-01-03,,,
,Coal Lignite,209809.5,8473,6307,9914,37869,7645,55428,26.42,154381.5,154407.99200000006,140511.27272000007,91.01561567933986,66.97088202393127,dgr16-2022-01-03.xls,2022-01-03,,,
,Coal Lignite,0,,,0,0,0,0,0,0,,,0,0,dgr16-2022-01-03.xls,2022-01-03,,,
,Gas Liquid,24869.508999999995,8943.12,,261,6777.685,10249.879000000003,17288.564000000002,69.52,7580.944999999992,4290.950000000001,4205.131,55.469746845545046,16.908781753592326,dgr16-2022-01-03.xls,2022-01-03,,,
,Diesel,509.709,,,,,,,,509.709,46.05,45.129,8.853875446578341,8.853875446578341,dgr16-2022-01-03.xls,2022-01-03,,,
